path	author	header	created	sphere	topic	style	audience_age	audience_level	audience_size	source	publication	publ_year	medium	country	region	language
plain/2017/3/19/Они не станут участниками ДТП.txt	ОД	Они не станут участниками ДТП	19.03.2017	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/3479-oni-ne-stanut-uchastnikami-dtp	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/19/Закон не освободил дачников от штрафов за мусор.txt	ОД	Закон не освободил дачников от штрафов за мусор	19.03.2017	публицистика	Законы	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zakony/3478-zakon-ne-osvobodil-dachnikov-ot-shtrafov-za-musor	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/18/У вас не будет электричества.txt	ОД	У вас не будет электричества	18.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3477-u-vas-ne-budet-elektrichestva	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/18/Работа в Дубне.txt	ОД	Работа в Дубне	18.03.2017	публицистика	Профессионал	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/professional/3476-rabota-v-dubne-3	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/17/Объединение молодых ученых ОИЯИ сменило председателя.txt	Кирилл Свояков	Объединение молодых ученых ОИЯИ сменило председателя	17.03.2017	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/3475-ob-edinenie-molodykh-uchenykh-oiyai-smenilo-predsedatelya	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/17/ОИЯИ присудил десять грантов учителям Дубны.txt	Кирилл Свояков	ОИЯИ присудил десять грантов учителям Дубны	17.03.2017	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/3474-oiyai-prisudil-desyat-grantov-uchitelyam-dubny	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/17/Срочно учите ПДД.txt	ОД	Срочно учите ПДД	17.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3473-srochno-uchite-pdd	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/17/Суд остановил предприятие в Подмосковье за пыль.txt	Никита Крутиков	Суд остановил предприятие в Подмосковье за пыль	17.03.2017	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/3472-sud-ostanovil-predpriyatie-v-podmoskove-za-pyl	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/17/Дубна лучше Протвино и хуже Электрогорска.txt	Кирилл Свояков	Дубна лучше Протвино и хуже Электрогорска	17.03.2017	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/3471-dubna-luchshe-protvino-i-khuzhe-elektrogorska	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/16/Работы физика и фотографа ОИЯИ выставили в Третьяковке.txt	ОД	Работы физика и фотографа ОИЯИ выставили в Третьяковке	16.03.2017	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/3470-raboty-fizika-oiyai-vystavili-v-tretyakovke	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/16/«Студентка» в Дубне нарушает чистоту и порядок.txt	Никита Крутиков	«Студентка» в Дубне нарушает чистоту и порядок	16.03.2017	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/3469-studentka-v-dubne-narushaet-chistotu-i-poryadok	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/16/Определена зона возможного подтопления в Дубне.txt	ОД	Определена зона возможного подтопления в Дубне	16.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3467-opredelena-zona-vozmozhnogo-podtopleniya-v-dubne	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
